EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
70	23:05:58	4	0.1000	0.32127140860863124
71	23:07:25	0	0.0500	0.30183341349416143
72	23:09:15	0	0.0500	0.2842321318774661
73	23:10:40	1	0.0500	0.2871976368412187
74	23:12:05	0	0.0500	0.2702093680825415
75	23:13:29	1	0.0500	0.27023764628964136
76	23:14:55	0	0.0500	0.26883385820856576
77	23:16:21	0	0.0500	0.26329286245605615
78	23:17:46	0	0.0500	0.2628642472002325
79	23:19:11	0	0.0500	0.259990004138856
80	23:20:36	1	0.0500	0.27014149534457094
81	23:22:01	0	0.0500	0.2593999018869068
82	23:23:26	0	0.0500	0.2551785586283931
83	23:24:51	0	0.0500	0.2534079396319163
84	23:26:15	1	0.0500	0.2551872474671919
85	23:27:40	2	0.0500	0.2594162785224145
86	23:29:07	0	0.0500	0.2524074929990346
87	23:30:32	0	0.0500	0.25090720037682146
88	23:31:58	0	0.0500	0.23916956306069712
89	23:33:22	0	0.0500	0.2356912124241832
90	23:34:47	1	0.0500	0.24508511117081852
91	23:36:11	2	0.0500	0.24216246373857123
92	23:37:37	3	0.0500	0.23845135922767693
93	23:39:02	4	0.0500	0.23764705532996716
94	23:40:27	1	0.0250	0.24339046411782125
95	23:41:51	0	0.0250	0.2290070934716282
96	23:43:16	0	0.0250	0.2265663307065828
97	23:44:41	1	0.0250	0.22918056114282034
98	23:46:06	0	0.0250	0.2230998661982108
99	23:47:30	0	0.0250	0.21604776231548453
100	23:48:56	1	0.0250	0.23747224881773507
101	23:50:20	2	0.0250	0.21889492183263543
102	23:51:44	0	0.0250	0.2143383389220962
103	23:53:08	1	0.0250	0.21810815311213838
104	23:54:31	2	0.0250	0.21440149303761463
105	23:55:54	0	0.0250	0.21424433980372887
106	23:57:18	1	0.0250	0.2152267113988158
107	23:58:41	0	0.0250	0.2141137710194799
108	00:00:04	0	0.0250	0.21356280777556233
109	00:01:27	1	0.0250	0.22050891868487188
110	00:02:50	2	0.0250	0.21593614047558246
111	00:04:13	0	0.0250	0.21179587707583664
112	00:05:35	0	0.0250	0.20590584845388238
113	00:07:03	1	0.0250	0.20764590038245992
114	00:08:37	0	0.0250	0.2053749050143399
115	00:10:00	1	0.0250	0.20565480036260206
116	00:11:23	2	0.0250	0.20719853168518482
117	00:12:45	3	0.0250	0.20710589055302023
118	00:14:07	0	0.0250	0.19874572183323813
119	00:15:30	1	0.0250	0.21330269343585154
120	00:16:52	2	0.0250	0.20283179949450342
121	00:18:15	3	0.0250	0.2028056960081375
122	00:19:37	4	0.0250	0.20502184220601485
123	00:20:59	0	0.0125	0.1984874309052395
124	00:22:22	0	0.0125	0.19242043826210348
125	00:23:44	1	0.0125	0.20257633792448648
126	00:25:05	2	0.0125	0.19872382566144195
127	00:26:28	3	0.0125	0.19759908735846418
128	00:27:51	4	0.0125	0.20143914043526107
129	00:29:15	1	0.0063	0.19428333055369462
130	00:30:37	2	0.0063	0.19641075125317783
131	00:31:59	3	0.0063	0.20426463074039056
132	00:33:22	4	0.0063	0.1924995852374955
133	00:34:44	0	0.0031	0.18798776621682733
134	00:36:06	1	0.0031	0.19395236284295214
135	00:37:28	2	0.0031	0.19617622008523608
136	00:38:51	3	0.0031	0.1928124738314861
137	00:40:13	4	0.0031	0.20205567409343358
138	00:41:35	1	0.0016	0.19410402266473709
139	00:42:58	2	0.0016	0.1933639193590306
140	00:44:20	3	0.0016	0.1959089887670324
141	00:45:43	4	0.0016	0.19630460231270216
142	00:47:06	1	0.0008	0.19898560986252903
143	00:48:32	2	0.0008	0.19213544053933287
144	00:49:56	3	0.0008	0.18811244633095928
145	00:51:18	4	0.0008	0.1902414702256269
146	00:52:41	1	0.0004	0.189671358352975
147	00:54:03	0	0.0004	0.1872933999741379
148	00:55:25	1	0.0004	0.19926253187505505
149	00:56:48	2	0.0004	0.19951951173664648
150	00:58:10	0	0.0004	0.1853659376855704
